id,name,specialization,address,phone_number,email
219,Lynn Wheeler,Endocrinologist,"25032 Nathaniel Canyon
Careyberg, MO 16675",(707)793-2693x175,jjohnson@example.com
1229,Steve Alexander,Pediatrician,"62320 Kenneth Common
Ivanside, MN 99601",796.497.6623x33006,psimpson@example.com
274,Justin Jordan,General Surgeon,"949 Christina Dam Apt. 751
Thomasburgh, ND 90466",2699400138,thayes@example.org
589,David Wise,Pediatrician,"3643 William Points
Russellstad, MH 77231",001-685-813-3305x4063,stephaniebooker@example.org
1336,Joseph Page,Pediatrician,"877 Cruz Via
Port Adamside, CA 00846",001-217-459-8314,walter30@example.net
975,Richard Peck,Cardiologist,"1880 Osborne Cape
Tamaraville, FM 40203",(884)632-0633x341,anthony58@example.net
423,Natasha Harris,Cardiologist,"Unit 3678 Box 4916
DPO AE 22914",353.231.9117,emily61@example.com
890,Carolyn Mcdonald,Radiologist,"4174 Donald Views
Hillshire, NE 90231",868-696-3818x60981,brittany13@example.org
818,Tracy Miller,Orthopedic Surgeon,"3338 Carla Wall
Welchburgh, ND 67634",4848164093,maureen22@example.com
747,Sheila Nichols,Cardiologist,"33909 Steven Place
East Christopher, AZ 04248",619.667.3668x84541,vdavis@example.com
235,Timothy Bryant,Orthopedic Surgeon,"8974 Holloway Harbor
New Diane, FM 64368",(457)995-1705,cooktroy@example.net
314,Emily Solis,General Surgeon,"970 Lloyd Walk
Ramirezville, FL 14805",+1-891-774-1800x67446,nhall@example.net
1393,Amanda Wilson,Radiologist,"7575 Dustin Center Apt. 853
Lake Amy, MT 23740",(663)674-3167x96940,duffydavid@example.net
1158,Kevin Noble,Neurologist,"PSC 5600, Box 4679
APO AE 86978",001-819-269-6108,johnholt@example.com
898,Wesley Wright,Cardiologist,"19701 Garrett Groves
Lake Richardchester, ME 62146",001-205-240-5010,ashleymcdonald@example.net
882,Troy Cook,Dermatologist,"79960 Hall Flat Suite 949
Rodriguezshire, SD 34105",+1-324-932-5774x98837,nlawson@example.com
1024,Jared Sherman,Cardiologist,"930 Simmons Well
North Cindyhaven, VI 19186",396.706.1689,armstrongmario@example.com
254,Chris Ewing,Oncologist,"511 Daniel Hollow
Pamelaburgh, MA 91905",560.264.0098,andrea70@example.com
1232,Rodney Wright,Orthopedic Surgeon,"079 Michael Plains Apt. 239
South Patrick, OH 11671",958.956.3255,pbradford@example.net
687,Michael Hicks,Gynecologist,"498 Tammy Shores Apt. 129
South Shaun, MT 40270",+1-902-312-4938,sanderschristopher@example.com
516,Janet Schmidt,Dermatologist,"948 Sylvia Burg Apt. 309
New Gregory, NY 87084",579.955.9840,jacob03@example.net
413,Maria Hartman,Orthopedic Surgeon,"3644 Brandy Harbor
Hoodstad, ND 73438",754.747.2911,brian67@example.net
1473,Jessica Dawson,Radiologist,"32602 Mallory Radial
Port Roger, MS 61499",001-547-321-5050,ross24@example.org
